OBJECTID,Region,LANSLU,Soil_Subgroup,Shape_Area,Shape_Length,Primary_Soil_Classification,Primary_Soil_Value,Secondary_Soil_Classification,Secondary_Soil_Value,Tertiary_Soil_Classification,Tertiary_Soil_Value,Total_Soil_Classifications_Count,Total_Soil_Classification_Value
13930,MID MURRAY COUNCIL,MMAQIA,B2,5.40E-05,0.046718601,B2,55,A4,45,None,0,2,100
13943,MID MURRAY COUNCIL,EBAQLB,B2,2.09E-05,0.020272146,B2,30.25,A4,24.75,A6,24.75,4,100
13949,MID MURRAY COUNCIL,TIGQLA,B2,6.70E-05,0.035324485,B2,41.25,A4,33.75,A5,16.25,5,100
13950,MID MURRAY COUNCIL,MMAKKE,A6,1.51E-05,0.015161571,A6,55,A5,45,None,0,2,100
13992,MID MURRAY COUNCIL,MMAQIA,B2,6.98E-05,0.056209363,B2,55,A4,45,None,0,2,100
14000,MID MURRAY COUNCIL,MMAJPU,D4,0.000991208,0.342115545,D4,35,A6,30,C3,20,4,100
14003,MID MURRAY COUNCIL,FLRQHA,B2,0.001433939,0.259284686,B2,100,None,0,None,0,1,100
14025,MID MURRAY COUNCIL,WOGKFA,A6,0.000132973,0.083239582,A6,55,D4,45,None,0,2,100
14044,MID MURRAY COUNCIL,BCPQHH,B2,0.000237895,0.172066816,B2,100,None,0,None,0,1,100
14047,MID MURRAY COUNCIL,BCPQHA,B2,0.000128884,0.063492852,B2,100,None,0,None,0,1,100
14054,MID MURRAY COUNCIL,FLRQHA,B2,0.001809778,0.23014772,B2,100,None,0,None,0,1,100
14085,MID MURRAY COUNCIL,MMAKOE,A6,0.000185824,0.109175216,A6,80,A3,20,None,0,2,100
14094,MID MURRAY COUNCIL,EBAQHA,B2,0.000780846,0.431559259,B2,65,A4,20,A5,15,3,100
14097,MID MURRAY COUNCIL,MMAKOE,A6,9.38E-05,0.079391561,A6,80,A3,20,None,0,2,100
14107,MID MURRAY COUNCIL,MMAJLU,D4,3.13E-05,0.024656414,D4,65,A6,20,D3,15,3,100
14130,MID MURRAY COUNCIL,TIGQLA,B2,3.94E-05,0.028939917,B2,41.25,A4,33.75,A5,16.25,5,100
14137,MID MURRAY COUNCIL,MMAKOE,A6,3.60E-05,0.035112623,A6,80,A3,20,None,0,2,100
14165,MID MURRAY COUNCIL,MMAQIB,B2,0.000227678,0.143624109,B2,55,A4,45,None,0,2,100
14166,MID MURRAY COUNCIL,FLRQHH,B2,0.000198126,0.14127712,B2,100,None,0,None,0,1,100
14167,MID MURRAY COUNCIL,FLRQHA,B2,0.000445891,0.110781542,B2,100,None,0,None,0,1,100
14193,MID MURRAY COUNCIL,TIGJLA,D4,1.82E-05,0.019814732,D4,55,C3,20,A3,15,4,100
14217,THE DC OF LOXTON WAIKERIE,PGKQOB,B2,9.76E-06,0.012687249,B2,75,H2,25,None,0,2,100
14221,MID MURRAY COUNCIL,MMAQIB,B2,4.00E-05,0.042679048,B2,55,A4,45,None,0,2,100
14226,MID MURRAY COUNCIL,TIGIAA,A6,3.61E-05,0.029754892,A6,35,A3,30,D4,20,4,100
14229,THE DC OF LOXTON WAIKERIE,PGKQOB,B2,7.53E-05,0.042848502,B2,75,H2,25,None,0,2,100
14231,MID MURRAY COUNCIL,FLRXUW,A4,4.99E-05,0.0456012,A4,100,None,0,None,0,1,100
14232,MID MURRAY COUNCIL,MMAQIA,B2,1.10E-05,0.014638041,B2,55,A4,45,None,0,2,100
14240,THE DC OF LOXTON WAIKERIE,PGKQMA,B2,0.00584786,0.550565386,B2,100,None,0,None,0,1,100
14241,MID MURRAY COUNCIL,MMAKKE,A6,4.05E-05,0.028395677,A6,55,A5,45,None,0,2,100
14254,MID MURRAY COUNCIL,TIGQLA,B2,0.011686927,1.55524277,B2,41.25,A4,33.75,A5,16.25,5,100
14304,MID MURRAY COUNCIL,TIGIAA,A6,5.48E-05,0.043802309,A6,35,A3,30,D4,20,4,100
14328,MID MURRAY COUNCIL,WOGJLp,D4,0.000124489,0.084029309,D4,65,A6,20,D3,15,3,100
14331,MID MURRAY COUNCIL,WOGJLp,D4,0.00023839,0.106437209,D4,65,A6,20,D3,15,3,100
14335,MID MURRAY COUNCIL,WOGQIB,B2,0.000636242,0.196031423,B2,35,A4,30,A5,20,4,100
14351,THE DC OF LOXTON WAIKERIE,BNYQMA,B2,0.002339394,0.265328477,B2,95,G1,5,None,0,2,100
14359,MID MURRAY COUNCIL,MMASRA,A6,4.29E-05,0.036895774,A6,44,A4,36,A5,11,4,100
14360,THE DC OF LOXTON WAIKERIE,PGKQOB,B2,0.000754532,0.176935537,B2,75,H2,25,None,0,2,100
14361,MID MURRAY COUNCIL,MMAQIB,B2,3.22E-05,0.023389649,B2,55,A4,45,None,0,2,100
14371,THE DC OF LOXTON WAIKERIE,PGKUMJ,H2,9.04E-05,0.058328137,H2,45,A4,30.25,C1,24.75,3,100
14388,MID MURRAY COUNCIL,WOGJLA,D4,0.00033947,0.148597635,D4,65,A6,20,D3,15,3,100
14396,MID MURRAY COUNCIL,TIGIAA,A6,2.22E-05,0.024803456,A6,35,A3,30,D4,20,4,100
14454,MID MURRAY COUNCIL,WOGJLp,D4,6.39E-05,0.035555547,D4,65,A6,20,D3,15,3,100
14477,MID MURRAY COUNCIL,WOGJLp,D4,1.36E-05,0.017363653,D4,65,A6,20,D3,15,3,100
14480,MID MURRAY COUNCIL,MMAJLA,D4,3.02E-05,0.02565628,D4,65,A6,20,D3,15,3,100
14486,MID MURRAY COUNCIL,MMAKaE,C3,2.66E-05,0.025319277,C3,45,A6,35,D4,20,3,100
14553,MID MURRAY COUNCIL,TIGJLp,D4,6.57E-05,0.055412489,D4,55,C3,20,A3,15,4,100
14561,MID MURRAY COUNCIL,TIGIAA,A6,2.38E-05,0.021393042,A6,35,A3,30,D4,20,4,100
14624,MID MURRAY COUNCIL,MMAQIB,B2,9.40E-05,0.078389942,B2,55,A4,45,None,0,2,100
14629,MID MURRAY COUNCIL,TIGIAA,A6,5.10E-05,0.030952648,A6,35,A3,30,D4,20,4,100
14632,MID MURRAY COUNCIL,TIGIAA,A6,8.47E-05,0.063359603,A6,35,A3,30,D4,20,4,100
14666,MID MURRAY COUNCIL,WOGQLA,B2,2.44E-05,0.01977609,B2,55,A4,45,None,0,2,100
14688,MID MURRAY COUNCIL,MMAJPU,D4,0.000209778,0.115805098,D4,35,A6,30,C3,20,4,100
14690,MID MURRAY COUNCIL,MMAQIA,B2,2.79E-05,0.026441146,B2,55,A4,45,None,0,2,100
14731,MID MURRAY COUNCIL,MMAQIB,B2,0.000174204,0.117080978,B2,55,A4,45,None,0,2,100
14751,MID MURRAY COUNCIL,WOGHgB,C1,0.000766174,0.271259309,C1,34,D4,25.585,A6,25.415,5,100
14752,MID MURRAY COUNCIL,WOGJLP,D4,0.000240234,0.151210965,D4,65,A6,20,D3,15,3,100
14774,MID MURRAY COUNCIL,MURUMF,H2,4.44E-05,0.035479214,H2,75,A4,13.75,C1,11.25,3,100
14776,RENMARK PARINGA COUNCIL,MSHUMJ,B2,0.000190949,0.109366984,B2,35.75,H2,35,A4,29.25,3,100
14780,RENMARK PARINGA COUNCIL,UMVSXII,A4,0.000390186,0.21603368,A4,65,G1,20,B8,15,3,100
14781,RENMARK PARINGA COUNCIL,UMVZL-,A8,8.95E-05,0.04714912,A8,100,None,0,None,0,1,100
14783,RENMARK PARINGA COUNCIL,MUTHqA,D5,0.000264262,0.100482344,D5,75,A4,25,None,0,2,100
14784,THE DC OF LOXTON WAIKERIE,UMVXTA,M2,2.38E-05,0.021521591,M2,19.25,E3,16.5,D2,15.75,8,100
14799,MID MURRAY COUNCIL,UMVXmA,E3,0.000356481,0.134052968,E3,46.75,F2,38.25,WW,10,4,100
14800,MID MURRAY COUNCIL,UMVXmB,E3,8.04E-05,0.074249805,E3,52.25,F2,42.75,H2,5,3,100
14803,MID MURRAY COUNCIL,TIGIAA,A6,4.03E-05,0.032380988,A6,35,A3,30,D4,20,4,100
14810,MID MURRAY COUNCIL,MMASRA,A6,0.000656733,0.233908682,A6,44,A4,36,A5,11,4,100
14815,MID MURRAY COUNCIL,MURUMJ,H2,6.66E-05,0.056217566,H2,45,A4,30.25,C1,24.75,3,100
14816,MID MURRAY COUNCIL,MMAQIA,B2,6.17E-05,0.040377486,B2,55,A4,45,None,0,2,100
14820,MID MURRAY COUNCIL,BLTUUK,H2,0.000111204,0.044041191,H2,55,B2,45,None,0,2,100
14823,THE DC OF LOXTON WAIKERIE,UMVXmA,E3,0.000112307,0.053550033,E3,46.75,F2,38.25,WW,10,4,100
14824,THE DC OF LOXTON WAIKERIE,PGKUJJ,H2,0.000332832,0.12437624,H2,55,A4,24.75,B2,20.25,3,100
14827,MID MURRAY COUNCIL,MURUMF,H2,8.44E-06,0.012150281,H2,75,A4,13.75,C1,11.25,3,100
14829,MID MURRAY COUNCIL,MURUMF,H2,7.15E-05,0.056216166,H2,75,A4,13.75,C1,11.25,3,100
14830,THE DC OF LOXTON WAIKERIE,HOLUMJ,H2,0.000545214,0.161241043,H2,45,A4,30.25,C1,24.75,3,100
14831,THE DC OF LOXTON WAIKERIE,UMVXmB,E3,6.14E-05,0.060879102,E3,52.25,F2,42.75,H2,5,3,100
14838,MID MURRAY COUNCIL,TIGIAA,A6,9.65E-05,0.044067052,A6,35,A3,30,D4,20,4,100
14840,THE DC OF LOXTON WAIKERIE,PGKQNA,A4,3.76E-05,0.029433408,A4,80,C1,20,None,0,2,100
14842,MID MURRAY COUNCIL,EBAQLA,B2,0.000935706,0.288241422,B2,41.25,A4,33.75,A6,13.75,4,100
14851,RENMARK PARINGA COUNCIL,UMVZC-,N2,3.34E-05,0.025448239,N2,100,None,0,None,0,1,100
14866,MID MURRAY COUNCIL,UMVXma,E3,0.000138781,0.058013507,E3,35.75,F2,29.25,H2,20,4,100
14881,MID MURRAY COUNCIL,MURUMJ,H2,0.000250167,0.159253966,H2,45,A4,30.25,C1,24.75,3,100
14884,MID MURRAY COUNCIL,MMASRA,A6,0.000109295,0.064319032,A6,44,A4,36,A5,11,4,100
14886,MID MURRAY COUNCIL,MURUMF,H2,0.0001183,0.096246299,H2,75,A4,13.75,C1,11.25,3,100
14889,MID MURRAY COUNCIL,MMAQIB,B2,5.68E-05,0.030133848,B2,55,A4,45,None,0,2,100
14890,THE DC OF LOXTON WAIKERIE,UMVXmA,E3,0.000470089,0.133583208,E3,46.75,F2,38.25,WW,10,4,100
14893,THE DC OF LOXTON WAIKERIE,UMVSXII,A4,7.99E-05,0.099048189,A4,65,G1,20,B8,15,3,100
14897,MID MURRAY COUNCIL,MURSgA,A4,0.000305551,0.136658718,A4,60,H2,25,C1,15,3,100
14904,RENMARK PARINGA COUNCIL,UMVXmB,E3,0.000830956,0.314289963,E3,52.25,F2,42.75,H2,5,3,100
14905,RENMARK PARINGA COUNCIL,UMVXmB,E3,0.001702246,0.591041033,E3,52.25,F2,42.75,H2,5,3,100
14911,MID MURRAY COUNCIL,LMVSXII,A4,0.000311986,0.163428017,A4,45,G1,35,H2,20,3,100
14912,MID MURRAY COUNCIL,TIGQLA,B2,1.86E-05,0.019221547,B2,41.25,A4,33.75,A5,16.25,5,100
14913,MID MURRAY COUNCIL,UMVSXC,A4,2.90E-05,0.031631795,A4,48.75,H2,25,G1,15,4,100
14918,MID MURRAY COUNCIL,CADShA,A4,0.000959916,0.30311659,A4,75,B2,25,None,0,2,100
14920,MID MURRAY COUNCIL,CADUMJ,A4,0.000904833,0.336897171,A4,55,H2,45,None,0,2,100
14921,MID MURRAY COUNCIL,TIGIAA,A6,8.25E-05,0.058054757,A6,35,A3,30,D4,20,4,100
14930,MID MURRAY COUNCIL,MMAQIA,B2,0.000220618,0.098399241,B2,55,A4,45,None,0,2,100
14932,MID MURRAY COUNCIL,MMAQIA,B2,0.00012283,0.077529962,B2,55,A4,45,None,0,2,100
14933,MID MURRAY COUNCIL,EBAIAA,A6,6.10E-05,0.036840957,A6,35,A5,30,D4,20,4,100
14940,RENMARK PARINGA COUNCIL,UMVXmB,E3,7.45E-05,0.041336768,E3,52.25,F2,42.75,H2,5,3,100
14943,MID MURRAY COUNCIL,MURSgA,A4,8.50E-05,0.066750276,A4,60,H2,25,C1,15,3,100
14956,RENMARK PARINGA COUNCIL,MUTHqA,D5,9.88E-05,0.048467528,D5,75,A4,25,None,0,2,100
14963,RENMARK PARINGA COUNCIL,UMVXmA,E3,0.000493332,0.138623286,E3,46.75,F2,38.25,WW,10,4,100
14964,RENMARK PARINGA COUNCIL,UMVUfJ,H2,0.000498463,0.155334328,H2,35,M2,22.75,E3,19.5,6,100
14966,MID MURRAY COUNCIL,MMAQIB,B2,0.000293814,0.212297718,B2,55,A4,45,None,0,2,100
14976,MID MURRAY COUNCIL,TIGIAA,A6,0.000115816,0.066095752,A6,35,A3,30,D4,20,4,100
14980,MID MURRAY COUNCIL,UMVXmB,E3,0.000222751,0.112384493,E3,52.25,F2,42.75,H2,5,3,100
14982,MID MURRAY COUNCIL,EBAQHA,B2,4.06E-06,0.007704537,B2,65,A4,20,A5,15,3,100
14988,MID MURRAY COUNCIL,MMAQIA,B2,8.89E-05,0.060016479,B2,55,A4,45,None,0,2,100
14989,MID MURRAY COUNCIL,UMVZA-,N2,6.65E-05,0.043687816,N2,100,None,0,None,0,1,100
14990,RENMARK PARINGA COUNCIL,MUTUIJ,H2,7.87E-05,0.055483103,H2,40,A4,35,D5,25,3,100
14991,MID MURRAY COUNCIL,MMAQIB,B2,1.97E-05,0.024538114,B2,55,A4,45,None,0,2,100
14992,THE DC OF LOXTON WAIKERIE,PGKQOB,B2,0.000117035,0.06112937,B2,75,H2,25,None,0,2,100
14993,MID MURRAY COUNCIL,UMVSXII,A4,4.00E-05,0.047994554,A4,65,G1,20,B8,15,3,100
15001,MID MURRAY COUNCIL,CADSgA,A4,0.000381227,0.104386381,A4,50,B2,25,H2,25,3,100
15005,MID MURRAY COUNCIL,TIGIAE,A6,0.000270076,0.128469256,A6,35,A3,30,D4,20,4,100
15007,MID MURRAY COUNCIL,CADQME,B2,2.91E-05,0.020665447,B2,80,A4,20,None,0,2,100
15008,RENMARK PARINGA COUNCIL,MUTHkA,D5,0.000133679,0.059240835,D5,100,None,0,None,0,1,100
15009,MID MURRAY COUNCIL,CADUMJ,A4,2.31E-05,0.022343058,A4,55,H2,45,None,0,2,100
15014,MID MURRAY COUNCIL,MURUME,H2,0.000322073,0.171449477,H2,85,A4,8.25,C1,6.75,3,100
15015,MID MURRAY COUNCIL,TIGQLA,B2,0.000112122,0.048388141,B2,41.25,A4,33.75,A5,16.25,5,100
15025,MID MURRAY COUNCIL,MRDQHA,B2,0.000600213,0.119901811,B2,100,None,0,None,0,1,100
15031,MID MURRAY COUNCIL,HOLQVA,A4,0.000766354,0.164719904,A4,42.75,B2,33.25,C1,19,4,100
15040,THE DC OF LOXTON WAIKERIE,UMVUfF,H2,0.000138977,0.057098331,H2,65,M2,12.25,E3,10.5,6,100
15042,MID MURRAY COUNCIL,CADUMJ,A4,2.37E-05,0.02147846,A4,55,H2,45,None,0,2,100
15044,MID MURRAY COUNCIL,MMAKOA,A6,8.01E-05,0.061644125,A6,80,A3,20,None,0,2,100
15049,MID MURRAY COUNCIL,UMVXCD,G3,0.000212565,0.132001284,G3,55,M1,45,None,0,2,100
15052,MID MURRAY COUNCIL,MMAQIB,B2,4.31E-05,0.029813064,B2,55,A4,45,None,0,2,100
15056,MID MURRAY COUNCIL,UMVXCD,G3,9.94E-05,0.046132386,G3,55,M1,45,None,0,2,100
15065,MID MURRAY COUNCIL,MMAQIB,B2,0.000107983,0.047656506,B2,55,A4,45,None,0,2,100
15068,MID MURRAY COUNCIL,UMVUMF,H2,1.73E-05,0.02011896,H2,65,A4,15.75,B2,12.25,4,100
15072,MID MURRAY COUNCIL,UMVXmB,E3,0.000163196,0.054186817,E3,52.25,F2,42.75,H2,5,3,100
15086,RENMARK PARINGA COUNCIL,UMVSXII,A4,0.000206057,0.089786792,A4,65,G1,20,B8,15,3,100
15087,MID MURRAY COUNCIL,MURUMJ,H2,0.001594165,0.52429211,H2,45,A4,30.25,C1,24.75,3,100
15089,MID MURRAY COUNCIL,MMASRA,A6,0.000241864,0.094164129,A6,44,A4,36,A5,11,4,100
15090,MID MURRAY COUNCIL,EBAIAA,A6,0.004647137,1.221962241,A6,35,A5,30,D4,20,4,100
15095,MID MURRAY COUNCIL,BLTU-D,H2,1.87E-05,0.020244169,H2,100,None,0,None,0,1,100
15097,RENMARK PARINGA COUNCIL,MUTSQB,A4,0.004683328,0.950669412,A4,85,H2,15,None,0,2,100
15100,THE DC OF LOXTON WAIKERIE,PGKQMA,B2,0.00266748,0.476493438,B2,100,None,0,None,0,1,100
15101,THE DC OF LOXTON WAIKERIE,UMVUfF,H2,1.57E-05,0.020961675,H2,65,M2,12.25,E3,10.5,6,100
15107,THE DC OF LOXTON WAIKERIE,PGKQNA,A4,6.27E-05,0.037048568,A4,80,C1,20,None,0,2,100
15112,MID MURRAY COUNCIL,TIGQLA,B2,1.52E-05,0.015810305,B2,41.25,A4,33.75,A5,16.25,5,100
15113,THE DC OF LOXTON WAIKERIE,UMVXTA,M2,4.56E-05,0.029453573,M2,19.25,E3,16.5,D2,15.75,8,100
15117,MID MURRAY COUNCIL,MMAQIA,B2,2.26E-05,0.02384191,B2,55,A4,45,None,0,2,100
15139,MID MURRAY COUNCIL,UMVUfK,H2,0.000244306,0.131471222,H2,55,M2,15.75,E3,13.5,6,100
15140,MID MURRAY COUNCIL,MMASRA,A6,0.00040911,0.183834206,A6,44,A4,36,A5,11,4,100
15143,MID MURRAY COUNCIL,TIGSRA,A4,0.002534748,0.58101611,A4,36,A3,24.75,A6,19.25,5,100
15148,MID MURRAY COUNCIL,UMVSXII,A4,2.85E-05,0.036147433,A4,65,G1,20,B8,15,3,100
15152,THE DC OF LOXTON WAIKERIE,UMVXmA,E3,0.00017935,0.066898093,E3,46.75,F2,38.25,WW,10,4,100
15153,THE DC OF LOXTON WAIKERIE,PGKSkA,C1,9.35E-05,0.049715553,C1,75,H2,25,None,0,2,100
15154,RENMARK PARINGA COUNCIL,MUTHkA,D5,2.61E-05,0.021504864,D5,100,None,0,None,0,1,100
15155,MID MURRAY COUNCIL,BLTQHA,B2,6.92E-05,0.040866486,B2,100,None,0,None,0,1,100
15156,MID MURRAY COUNCIL,LMVSXII,A4,2.38E-05,0.024790413,A4,45,G1,35,H2,20,3,100
15157,THE DC OF LOXTON WAIKERIE,PGKQNA,A4,6.70E-05,0.051774137,A4,80,C1,20,None,0,2,100
15158,MID MURRAY COUNCIL,MMAQIB,B2,7.05E-05,0.035567573,B2,55,A4,45,None,0,2,100
15159,THE DC OF LOXTON WAIKERIE,UMVUDs,H2,0.000118822,0.049243274,H2,45,A4,35.75,G1,11,4,100
15161,MID MURRAY COUNCIL,TIGIAE,A6,6.73E-05,0.049445722,A6,35,A3,30,D4,20,4,100
15162,THE DC OF LOXTON WAIKERIE,UMVXmA,E3,1.87E-05,0.023763176,E3,46.75,F2,38.25,WW,10,4,100
15164,MID MURRAY COUNCIL,MMAQIA,B2,7.91E-05,0.060103593,B2,55,A4,45,None,0,2,100
15166,MID MURRAY COUNCIL,MMAQIA,B2,3.29E-05,0.026995489,B2,55,A4,45,None,0,2,100
15167,MID MURRAY COUNCIL,MURUMF,H2,1.87E-05,0.017978831,H2,75,A4,13.75,C1,11.25,3,100
15173,THE DC OF LOXTON WAIKERIE,PGKQNA,A4,0.000135797,0.058511194,A4,80,C1,20,None,0,2,100
15175,MID MURRAY COUNCIL,EBAQLA,B2,1.32E-05,0.01524168,B2,41.25,A4,33.75,A6,13.75,4,100
15177,THE DC OF LOXTON WAIKERIE,UMVUDs,H2,0.000173122,0.067195203,H2,45,A4,35.75,G1,11,4,100
15183,THE DC OF LOXTON WAIKERIE,HOLSgA,A4,0.001271282,0.288348422,A4,41.25,C1,33.75,H2,25,3,100
15185,THE DC OF LOXTON WAIKERIE,PGKSkA,C1,0.000468373,0.159630722,C1,75,H2,25,None,0,2,100
15191,MID MURRAY COUNCIL,LMVXm-,E3,0.000274585,0.100951485,E3,39,H2,20,N3,20,5,100
15203,MID MURRAY COUNCIL,CADShA,A4,0.000235336,0.089842426,A4,75,B2,25,None,0,2,100
15205,MID MURRAY COUNCIL,MMAKOE,A6,0.000163234,0.124427901,A6,80,A3,20,None,0,2,100
15207,RENMARK PARINGA COUNCIL,MUTSQB,A4,0.000174105,0.10207973,A4,85,H2,15,None,0,2,100
15209,RENMARK PARINGA COUNCIL,UMVXmB,E3,0.000474895,0.229218202,E3,52.25,F2,42.75,H2,5,3,100
15214,RENMARK PARINGA COUNCIL,UMVXmB,E3,6.79E-05,0.038874312,E3,52.25,F2,42.75,H2,5,3,100
15215,MID MURRAY COUNCIL,EBAQLA,B2,0.000462684,0.246748528,B2,41.25,A4,33.75,A6,13.75,4,100
15218,MID MURRAY COUNCIL,MURSgA,A4,0.000485075,0.160522907,A4,60,H2,25,C1,15,3,100
15220,MID MURRAY COUNCIL,MURUMF,H2,9.95E-05,0.082493445,H2,75,A4,13.75,C1,11.25,3,100
15223,THE DC OF LOXTON WAIKERIE,UMVXmB,E3,0.000109478,0.062350844,E3,52.25,F2,42.75,H2,5,3,100
15225,MID MURRAY COUNCIL,MURUMJ,H2,0.000231486,0.140715723,H2,45,A4,30.25,C1,24.75,3,100
15232,RENMARK PARINGA COUNCIL,UMVXTA,M2,6.09E-05,0.047828815,M2,19.25,E3,16.5,D2,15.75,8,100
15238,RENMARK PARINGA COUNCIL,MUTUIJ,H2,0.000221317,0.097683037,H2,40,A4,35,D5,25,3,100
15242,THE DC OF LOXTON WAIKERIE,UMVUDp,H2,0.000254401,0.088870267,H2,65,A4,22.75,G1,7,4,100
15243,THE DC OF LOXTON WAIKERIE,HOLUMJ,H2,0.000223353,0.095513528,H2,45,A4,30.25,C1,24.75,3,100
15254,MID MURRAY COUNCIL,LMVSXI,A4,9.87E-05,0.080038225,A4,45,G1,35,H2,20,3,100
15261,MID MURRAY COUNCIL,CADQME,B2,1.84E-05,0.017657958,B2,80,A4,20,None,0,2,100
15263,RENMARK PARINGA COUNCIL,UMVXmA,E3,3.55E-05,0.033798767,E3,46.75,F2,38.25,WW,10,4,100
15265,MID MURRAY COUNCIL,UMVZA-,N2,2.21E-05,0.019986694,N2,100,None,0,None,0,1,100
15275,RENMARK PARINGA COUNCIL,UMVXmA,E3,0.000105676,0.053359274,E3,46.75,F2,38.25,WW,10,4,100
15277,MID MURRAY COUNCIL,EBAQHA,B2,2.41E-05,0.025234985,B2,65,A4,20,A5,15,3,100
15282,RENMARK PARINGA COUNCIL,MUTHkA,D5,0.000425806,0.142568359,D5,100,None,0,None,0,1,100
15284,THE DC OF LOXTON WAIKERIE,UMVSXC,A4,3.17E-05,0.034088337,A4,48.75,H2,25,G1,15,4,100
